0_answers,0_clear_goals,0_course_name,0_course_rate,0_course_requirements,0_dept,0_feedback,0_hrs_week,0_level,0_num,0_prof_interest,0_respect,0_semester,0_semester_int,0_students,0_subject_importance,0_subject_matter,0_teaching_rate,0_year,1_answers,1_clear_goals,1_course_name,1_course_rate,1_course_requirements,1_dept,1_feedback,1_hrs_week,1_level,1_num,1_prof_interest,1_respect,1_semester,1_semester_int,1_students,1_subject_importance,1_subject_matter,1_teaching_rate,1_year,2_answers,2_clear_goals,2_course_name,2_course_rate,2_course_requirements,2_dept,2_feedback,2_hrs_week,2_level,2_num,2_prof_interest,2_respect,2_semester,2_semester_int,2_students,2_subject_importance,2_subject_matter,2_teaching_rate,2_year,3_answers,3_clear_goals,3_course_name,3_course_rate,3_course_requirements,3_dept,3_feedback,3_hrs_week,3_level,3_num,3_prof_interest,3_respect,3_semester,3_semester_int,3_students,3_subject_importance,3_subject_matter,3_teaching_rate,3_year,4_answers,4_clear_goals,4_course_name,4_course_rate,4_course_requirements,4_dept,4_feedback,4_hrs_week,4_level,4_num,4_prof_interest,4_respect,4_semester,4_semester_int,4_students,4_subject_importance,4_subject_matter,4_teaching_rate,4_year
12,4.17,CMPL MTHD BIO MDL SM,3.75,4.42,CB,3.83,13.92,Graduate,02712,4.08,4.75,Fall,9,17,3.92,4.17,3.92,2017,12,4.17,CMPL MTHD BIO MDL SM,4.0,4.25,CB,4.0,11.67,Graduate,02712,4.17,4.42,Fall,9,19,4.0,3.83,4.17,2016,9,5.0,CMPL MTHD BIO MDL SM,4.78,4.89,CB,4.67,15.889999999999999,Graduate,02712,4.78,4.89,Fall,9,15,5.0,4.89,4.78,2015,11,4.55,CMPL MTHD BIO MDL SM,4.27,4.55,CB,4.09,14.45,Graduate,02712,4.27,4.73,Fall,9,18,4.3,4.0,4.18,2014,9,4.33,CMPL MTHD BIO MDL SM,4.44,4.38,CB,4.0,,Graduate,02712,4.22,4.78,Fall,9,10,4.44,4.44,4.67,2013
6,4.33,CELL SYSTMS MODELING,3.83,4.17,CB,3.33,13.17,Graduate,02730,3.83,4.67,Fall,9,7,4.33,4.33,4.0,2016,11,4.545454545454546,CELL SYSTMS MODELING,4.183636363636364,4.725454545454546,CB,4.183636363636364,13.452727272727275,Graduate,02730,4.361818181818182,4.909090909090909,Fall,9,18,4.545454545454546,5.0,4.361818181818182,2015,5,4.2,CELL SYSTMS MODELING,4.0,3.6,CB,4.0,17.4,Graduate,02730,4.2,4.6,Fall,9,6,4.0,4.0,4.2,2014,5,4.401999999999999,CELL SYSTMS MODELING,3.198,3.998,CB,3.2019999999999995,,Graduate,02730,4.802,4.802,Fall,9,6,3.8,3.998,4.0,2013,6,4.5,CELL SYSTMS MODELING,4.17,4.17,CB,4.0,,Graduate,02730,4.0,4.83,Spring,1,8,4.0,4.5,4.0,2013
3,4.0,BIOIMAGE INFORMTCS,4.0,3.33,CB,3.67,7.0,Graduate,02740,4.33,4.67,Spring,1,5,4.33,5.0,3.67,2017,1,4.0,BIOIMAGE INFORMTCS,4.0,4.0,CB,3.0,11.0,Graduate,02740,5.0,5.0,Spring,1,2,5.0,4.0,4.0,2016,9,4.0,BIOIMAGE INFORMTCS,3.67,4.22,CB,3.8899999999999997,12.78,Graduate,02740,4.5,4.56,Spring,1,16,4.33,4.11,4.11,2015,7,4.86,BIOIMAGE INFORMTCS,4.71,4.86,CB,4.86,,Graduate,02740,4.86,5.0,Spring,1,10,4.71,4.86,4.71,2014,2,4.5,BIOIMAGE INFORMTCS,4.0,5.0,CB,4.0,,Graduate,02740,4.0,5.0,Spring,1,4,4.5,4.5,4.5,2013
26,3.52,AUTOMTN BIOLGL RESRC,2.92,3.38,CB,2.54,10.46,Graduate,02750,3.12,3.42,Fall,9,39,3.3500000000000005,3.19,3.19,2017,44,4.16,AUTOMTN BIOLGL RESRC,3.77,4.23,CB,3.77,11.29,Graduate,02750,4.02,4.05,Fall,9,79,4.11,4.14,3.93,2016,28,4.54,AUTOMTN BIOLGL RESRC,4.43,4.43,CB,4.57,13.820000000000002,Graduate,02750,4.5,4.61,Fall,9,45,4.61,4.64,4.39,2015,42,4.220000000000001,AUTOMTN BIOLGL RESRC,4.220000000000001,4.220000000000001,CB,4.245,11.434999999999999,Graduate,02750,4.32,4.29,Fall,9,54,4.24,4.12,4.245,2014,16,3.63,AUTOMTN BIOLGL RESRC,3.815,3.63,CB,3.565,,Graduate,02750,3.88,3.875,Fall,9,32,4.0649999999999995,3.88,3.69,2013
3,4.33,LAB MTHDS COMP BIO,4.0,4.67,CB,4.33,9.5,Graduate,02760,4.67,5.0,Spring,1,5,4.0,5.0,4.33,2017,12,4.085,LAB MTHDS COMP BIO,3.5,3.5849999999999995,CB,4.17,9.4,Graduate,02760,4.5,4.58,Spring,1,16,4.165,4.25,4.0,2016,4,4.0,LAB MTHDS COMP BIO,3.5,3.5,CB,4.5,9.5,Graduate,02760,5.0,4.75,Spring,1,12,4.5,4.25,4.5,2015,2,4.0,LAB MTHDS COMP BIO,3.0,4.0,CB,4.0,,Graduate,02760,5.0,5.0,Spring,1,4,4.0,2.0,4.0,2014,10,4.3,LAB MTHDS COMP BIO,4.1,4.5,CB,4.1,,Graduate,02760,4.4,4.7,Spring,1,10,4.35,4.3,4.2,2013
6,4.67,LAB METHODS COMP BIO,4.835,4.67,CB,5.0,6.0,Graduate,02760,5.0,4.835,Fall,9,8,5.0,4.835,5.0,2017,3,4.33,LAB MTHDS COMP BIO,4.0,4.67,CB,4.33,9.5,Graduate,02760,4.67,5.0,Spring,1,5,4.0,5.0,4.33,2017,12,4.085,LAB MTHDS COMP BIO,3.5,3.5849999999999995,CB,4.17,9.4,Graduate,02760,4.5,4.58,Spring,1,16,4.165,4.25,4.0,2016,4,4.0,LAB MTHDS COMP BIO,3.5,3.5,CB,4.5,9.5,Graduate,02760,5.0,4.75,Spring,1,12,4.5,4.25,4.5,2015,2,4.0,LAB MTHDS COMP BIO,3.0,4.0,CB,4.0,,Graduate,02760,5.0,5.0,Spring,1,4,4.0,2.0,4.0,2014
4,4.75,BSC FIRST YEAR SEMNR,4.25,4.25,BSC,3.5,4.25,Undergraduate,03101,4.5,4.75,Spring,1,6,4.5,3.67,4.0,2016,3,5.0,BSC FIRST YEAR SEMNR,5.0,4.67,BSC,4.33,4.0,Undergraduate,03101,5.0,5.0,Spring,1,8,5.0,5.0,4.67,2015,14,4.3585714285714285,BSC FIRST YEAR SEMNR,4.361428571428571,4.572857142857143,BSC,4.355714285714286,7.0,Undergraduate,03101,4.784285714285715,4.931428571428571,Fall,9,15,4.214285714285714,4.215714285714285,4.647142857142858,2014,39,4.5920512820512815,BSC FIRST YEAR SEMNR,4.488205128205128,4.384102564102564,BSC,4.438717948717948,,Undergraduate,03101,4.564871794871795,4.617435897435897,Spring,1,56,4.512820512820513,4.359743589743589,4.512820512820513,2014,24,4.79,BSC FIRST YEAR SEMNR,4.75,4.83,BSC,4.54,,Undergraduate,03101,4.835,4.96,Fall,9,27,4.835,4.79,4.83,2013
3,5.0,BSC FIRST YEAR SEMNR,5.0,4.67,BSC,4.33,4.0,Undergraduate,03101,5.0,5.0,Spring,1,8,5.0,5.0,4.67,2015,14,4.3585714285714285,BSC FIRST YEAR SEMNR,4.361428571428571,4.572857142857143,BSC,4.355714285714286,7.0,Undergraduate,03101,4.784285714285715,4.931428571428571,Fall,9,15,4.214285714285714,4.215714285714285,4.647142857142858,2014,39,4.5920512820512815,BSC FIRST YEAR SEMNR,4.488205128205128,4.384102564102564,BSC,4.438717948717948,,Undergraduate,03101,4.564871794871795,4.617435897435897,Spring,1,56,4.512820512820513,4.359743589743589,4.512820512820513,2014,24,4.79,BSC FIRST YEAR SEMNR,4.75,4.83,BSC,4.54,,Undergraduate,03101,4.835,4.96,Fall,9,27,4.835,4.79,4.83,2013,9,4.776666666666667,BSC FIRST YEAR SEMNR,4.666666666666667,4.333333333333333,BSC,4.334444444444444,,Undergraduate,03101,4.554444444444445,4.89,Spring,1,38,4.665555555555556,4.555555555555555,4.666666666666667,2013
13,4.6923076923076925,BSC FIRST YEAR SEMNR,4.538461538461538,4.6923076923076925,BSC,4.615384615384615,3.6153846153846154,Undergraduate,03101,4.769230769230769,4.6923076923076925,Spring,1,15,4.769230769230769,4.384615384615385,4.461538461538462,2017,4,4.75,BSC FIRST YEAR SEMNR,4.25,4.25,BSC,3.5,4.25,Undergraduate,03101,4.5,4.75,Spring,1,6,4.5,3.67,4.0,2016,3,5.0,BSC FIRST YEAR SEMNR,5.0,4.67,BSC,4.33,4.0,Undergraduate,03101,5.0,5.0,Spring,1,8,5.0,5.0,4.67,2015,14,4.3585714285714285,BSC FIRST YEAR SEMNR,4.361428571428571,4.572857142857143,BSC,4.355714285714286,7.0,Undergraduate,03101,4.784285714285715,4.931428571428571,Fall,9,15,4.214285714285714,4.215714285714285,4.647142857142858,2014,39,4.5920512820512815,BSC FIRST YEAR SEMNR,4.488205128205128,4.384102564102564,BSC,4.438717948717948,,Undergraduate,03101,4.564871794871795,4.617435897435897,Spring,1,56,4.512820512820513,4.359743589743589,4.512820512820513,2014
42,4.606428571428572,PHAGE GENOMICS RSRCH,4.852857142857142,4.692142857142857,BSC,4.514285714285715,5.285714285714286,Undergraduate,03115,4.83,4.731428571428572,Fall,9,50,4.803571428571429,4.730714285714286,4.707142857142857,2017,37,4.65081081081081,PHAGE GENOMICS RSRCH,4.864864864864865,4.727567567567567,BSC,4.8129729729729736,5.0,Undergraduate,03115,4.868108108108109,4.892972972972974,Fall,9,50,4.7578378378378385,4.811891891891892,4.734054054054054,2016,32,4.784375000000001,PHAGE GENOMICS RSRCH,4.969374999999999,4.815625000000001,BSC,4.908125,4.7175,Undergraduate,03115,4.9375,4.9075,Fall,9,46,4.8462499999999995,4.7837499999999995,4.938124999999999,2015,37,4.45945945945946,PHAGE GENOMICS RSRCH,4.648648648648648,4.515675675675676,BSC,4.570810810810811,5.501621621621622,Undergraduate,03115,4.757837837837838,4.814054054054054,Fall,9,48,4.597837837837838,4.4854054054054044,4.45945945945946,2014,30,4.825,PHAGE GENOMICS RSRCH,5.0,4.825,BSC,4.825,,Undergraduate,03115,4.9350000000000005,4.885000000000001,Fall,9,40,4.845,4.8149999999999995,4.735,2013
45,4.554444444444444,PHAGE GENOMICS RSRCH,4.6853333333333325,4.356,BSC,4.442666666666667,5.552444444444445,Undergraduate,03116,4.734,4.886,Spring,1,52,4.780444444444445,4.624888888888889,4.532,2017,20,4.2505,PHAGE GENOMICS RSRCH,4.303,4.299,BSC,4.2485,6.0504999999999995,Undergraduate,03116,4.449,4.564,Spring,1,42,4.351000000000001,4.35,4.150499999999999,2016,33,4.090909090909091,PHAGE GENOMICS RSRCH,4.334545454545454,4.092727272727273,BSC,4.1499999999999995,5.163636363636364,Undergraduate,03116,4.452727272727273,4.636363636363637,Spring,1,46,4.243636363636364,4.243636363636363,4.181818181818182,2015,26,4.655,PHAGE GENOMICS RSRCH,4.76,4.58,BSC,4.425000000000001,,Undergraduate,03116,4.7700000000000005,4.7700000000000005,Spring,1,40,4.81,4.845,4.615,2014,24,4.125,PHAGE GENOMICS RSRCH,4.125,4.0,BSC,4.29,,Undergraduate,03116,4.375,4.5,Spring,1,32,4.255,4.165,4.29,2013
280,3.7452500000000004,MODERN BIOLOGY,3.456571428571429,3.743785714285714,BSC,3.524142857142857,7.322928571428572,Undergraduate,03121,3.936071428571428,4.164571428571429,Fall,9,404,3.7095357142857144,3.6654999999999998,3.451678571428571,2014,20,4.803,MODERN BIOLOGY,4.548,4.746,BSC,4.351999999999999,,Undergraduate,03121,4.8020000000000005,4.851000000000001,Summer,5,22,4.648000000000001,4.699,4.8020000000000005,2014,218,3.3799999999999994,MODERN BIOLOGY,3.165,3.3850000000000002,BSC,3.06,,Undergraduate,03121,3.6999999999999997,4.0600000000000005,Spring,1,362,3.52,3.235,3.1200000000000006,2014,288,3.8888194444444446,MODERN BIOLOGY,3.7992708333333334,3.895590277777777,BSC,3.640173611111111,,Undergraduate,03121,4.231493055555556,4.445208333333333,Fall,9,412,4.112847222222222,3.9154861111111106,3.868576388888889,2013,9,4.888888888888889,MODERN BIOLOGY,4.555555555555555,4.555555555555555,BSC,4.444444444444445,,Undergraduate,03121,4.777777777777778,5.0,Summer,5,19,4.777777777777778,4.777777777777778,4.666666666666667,2013
140,2.945,MODERN BIOLOGY,2.665,2.9949999999999997,BSC,2.75,7.559999999999999,Undergraduate,03121,3.53,3.960000000000001,Spring,1,262,3.475,2.775,2.7150000000000003,2015,280,3.7452500000000004,MODERN BIOLOGY,3.456571428571429,3.743785714285714,BSC,3.524142857142857,7.322928571428572,Undergraduate,03121,3.936071428571428,4.164571428571429,Fall,9,404,3.7095357142857144,3.6654999999999998,3.451678571428571,2014,20,4.803,MODERN BIOLOGY,4.548,4.746,BSC,4.351999999999999,,Undergraduate,03121,4.8020000000000005,4.851000000000001,Summer,5,22,4.648000000000001,4.699,4.8020000000000005,2014,218,3.3799999999999994,MODERN BIOLOGY,3.165,3.3850000000000002,BSC,3.06,,Undergraduate,03121,3.6999999999999997,4.0600000000000005,Spring,1,362,3.52,3.235,3.1200000000000006,2014,288,3.8888194444444446,MODERN BIOLOGY,3.7992708333333334,3.895590277777777,BSC,3.640173611111111,,Undergraduate,03121,4.231493055555556,4.445208333333333,Fall,9,412,4.112847222222222,3.9154861111111106,3.868576388888889,2013
20,4.803,MODERN BIOLOGY,4.548,4.746,BSC,4.351999999999999,,Undergraduate,03121,4.8020000000000005,4.851000000000001,Summer,5,22,4.648000000000001,4.699,4.8020000000000005,2014,218,3.3799999999999994,MODERN BIOLOGY,3.165,3.3850000000000002,BSC,3.06,,Undergraduate,03121,3.6999999999999997,4.0600000000000005,Spring,1,362,3.52,3.235,3.1200000000000006,2014,288,3.8888194444444446,MODERN BIOLOGY,3.7992708333333334,3.895590277777777,BSC,3.640173611111111,,Undergraduate,03121,4.231493055555556,4.445208333333333,Fall,9,412,4.112847222222222,3.9154861111111106,3.868576388888889,2013,9,4.888888888888889,MODERN BIOLOGY,4.555555555555555,4.555555555555555,BSC,4.444444444444445,,Undergraduate,03121,4.777777777777778,5.0,Summer,5,19,4.777777777777778,4.777777777777778,4.666666666666667,2013,146,3.55,MODERN BIOLOGY,3.3200000000000003,3.56,BSC,3.2150000000000003,,Undergraduate,03121,3.9799999999999995,4.2250000000000005,Spring,1,320,3.7949999999999995,3.435,3.315,2013
264,3.8100000000000005,MODERN BIOLOGY,3.59,3.9149999999999996,BSC,3.6499999999999995,7.49,Undergraduate,03121,3.985,4.375,Fall,9,346,3.7599999999999993,3.5799999999999996,3.59,2015,29,4.789999999999999,MODERN BIOLOGY,4.669310344827586,4.792758620689655,BSC,4.652758620689656,12.547931034482758,Undergraduate,03121,4.932413793103449,4.966206896551723,Summer,5,29,4.652758620689656,4.657586206896552,4.635862068965517,2015,140,2.945,MODERN BIOLOGY,2.665,2.9949999999999997,BSC,2.75,7.559999999999999,Undergraduate,03121,3.53,3.960000000000001,Spring,1,262,3.475,2.775,2.7150000000000003,2015,280,3.7452500000000004,MODERN BIOLOGY,3.456571428571429,3.743785714285714,BSC,3.524142857142857,7.322928571428572,Undergraduate,03121,3.936071428571428,4.164571428571429,Fall,9,404,3.7095357142857144,3.6654999999999998,3.451678571428571,2014,20,4.803,MODERN BIOLOGY,4.548,4.746,BSC,4.351999999999999,,Undergraduate,03121,4.8020000000000005,4.851000000000001,Summer,5,22,4.648000000000001,4.699,4.8020000000000005,2014
188,3.57,MODERN BIOLOGY,3.27,3.69,BSC,3.285,7.01,Undergraduate,03121,4.075,4.449999999999999,Spring,1,300,3.805,3.43,3.3800000000000003,2016,264,3.8100000000000005,MODERN BIOLOGY,3.59,3.9149999999999996,BSC,3.6499999999999995,7.49,Undergraduate,03121,3.985,4.375,Fall,9,346,3.7599999999999993,3.5799999999999996,3.59,2015,29,4.789999999999999,MODERN BIOLOGY,4.669310344827586,4.792758620689655,BSC,4.652758620689656,12.547931034482758,Undergraduate,03121,4.932413793103449,4.966206896551723,Summer,5,29,4.652758620689656,4.657586206896552,4.635862068965517,2015,140,2.945,MODERN BIOLOGY,2.665,2.9949999999999997,BSC,2.75,7.559999999999999,Undergraduate,03121,3.53,3.960000000000001,Spring,1,262,3.475,2.775,2.7150000000000003,2015,280,3.7452500000000004,MODERN BIOLOGY,3.456571428571429,3.743785714285714,BSC,3.524142857142857,7.322928571428572,Undergraduate,03121,3.936071428571428,4.164571428571429,Fall,9,404,3.7095357142857144,3.6654999999999998,3.451678571428571,2014
29,4.789999999999999,MODERN BIOLOGY,4.669310344827586,4.792758620689655,BSC,4.652758620689656,12.547931034482758,Undergraduate,03121,4.932413793103449,4.966206896551723,Summer,5,29,4.652758620689656,4.657586206896552,4.635862068965517,2015,140,2.945,MODERN BIOLOGY,2.665,2.9949999999999997,BSC,2.75,7.559999999999999,Undergraduate,03121,3.53,3.960000000000001,Spring,1,262,3.475,2.775,2.7150000000000003,2015,280,3.7452500000000004,MODERN BIOLOGY,3.456571428571429,3.743785714285714,BSC,3.524142857142857,7.322928571428572,Undergraduate,03121,3.936071428571428,4.164571428571429,Fall,9,404,3.7095357142857144,3.6654999999999998,3.451678571428571,2014,20,4.803,MODERN BIOLOGY,4.548,4.746,BSC,4.351999999999999,,Undergraduate,03121,4.8020000000000005,4.851000000000001,Summer,5,22,4.648000000000001,4.699,4.8020000000000005,2014,218,3.3799999999999994,MODERN BIOLOGY,3.165,3.3850000000000002,BSC,3.06,,Undergraduate,03121,3.6999999999999997,4.0600000000000005,Spring,1,362,3.52,3.235,3.1200000000000006,2014
