0_answers,0_clear_goals,0_course_name,0_course_rate,0_course_requirements,0_dept,0_feedback,0_hrs_week,0_level,0_num,0_prof_interest,0_respect,0_semester,0_semester_int,0_students,0_subject_importance,0_subject_matter,0_teaching_rate,0_year,1_answers,1_clear_goals,1_course_name,1_course_rate,1_course_requirements,1_dept,1_feedback,1_hrs_week,1_level,1_num,1_prof_interest,1_respect,1_semester,1_semester_int,1_students,1_subject_importance,1_subject_matter,1_teaching_rate,1_year,2_answers,2_clear_goals,2_course_name,2_course_rate,2_course_requirements,2_dept,2_feedback,2_hrs_week,2_level,2_num,2_prof_interest,2_respect,2_semester,2_semester_int,2_students,2_subject_importance,2_subject_matter,2_teaching_rate,2_year,frequency
26,3.52,AUTOMTN BIOLGL RESRC,2.92,3.38,CB,2.54,10.46,Graduate,02750,3.12,3.42,Fall,9,39,3.3500000000000005,3.19,3.19,2017,44,4.16,AUTOMTN BIOLGL RESRC,3.77,4.23,CB,3.77,11.29,Graduate,02750,4.02,4.05,Fall,9,79,4.11,4.14,3.93,2016,28,4.54,AUTOMTN BIOLGL RESRC,4.43,4.43,CB,4.57,13.820000000000002,Graduate,02750,4.5,4.61,Fall,9,45,4.61,4.64,4.39,2015,1
3,4.33,LAB MTHDS COMP BIO,4.0,4.67,CB,4.33,9.5,Graduate,02760,4.67,5.0,Spring,1,5,4.0,5.0,4.33,2017,12,4.085,LAB MTHDS COMP BIO,3.5,3.5849999999999995,CB,4.17,9.4,Graduate,02760,4.5,4.58,Spring,1,16,4.165,4.25,4.0,2016,4,4.0,LAB MTHDS COMP BIO,3.5,3.5,CB,4.5,9.5,Graduate,02760,5.0,4.75,Spring,1,12,4.5,4.25,4.5,2015,1
6,4.67,LAB METHODS COMP BIO,4.835,4.67,CB,5.0,6.0,Graduate,02760,5.0,4.835,Fall,9,8,5.0,4.835,5.0,2017,3,4.33,LAB MTHDS COMP BIO,4.0,4.67,CB,4.33,9.5,Graduate,02760,4.67,5.0,Spring,1,5,4.0,5.0,4.33,2017,12,4.085,LAB MTHDS COMP BIO,3.5,3.5849999999999995,CB,4.17,9.4,Graduate,02760,4.5,4.58,Spring,1,16,4.165,4.25,4.0,2016,11
13,4.6923076923076925,BSC FIRST YEAR SEMNR,4.538461538461538,4.6923076923076925,BSC,4.615384615384615,3.6153846153846154,Undergraduate,03101,4.769230769230769,4.6923076923076925,Spring,1,15,4.769230769230769,4.384615384615385,4.461538461538462,2017,4,4.75,BSC FIRST YEAR SEMNR,4.25,4.25,BSC,3.5,4.25,Undergraduate,03101,4.5,4.75,Spring,1,6,4.5,3.67,4.0,2016,3,5.0,BSC FIRST YEAR SEMNR,5.0,4.67,BSC,4.33,4.0,Undergraduate,03101,5.0,5.0,Spring,1,8,5.0,5.0,4.67,2015,1
42,4.606428571428572,PHAGE GENOMICS RSRCH,4.852857142857142,4.692142857142857,BSC,4.514285714285715,5.285714285714286,Undergraduate,03115,4.83,4.731428571428572,Fall,9,50,4.803571428571429,4.730714285714286,4.707142857142857,2017,37,4.65081081081081,PHAGE GENOMICS RSRCH,4.864864864864865,4.727567567567567,BSC,4.8129729729729736,5.0,Undergraduate,03115,4.868108108108109,4.892972972972974,Fall,9,50,4.7578378378378385,4.811891891891892,4.734054054054054,2016,32,4.784375000000001,PHAGE GENOMICS RSRCH,4.969374999999999,4.815625000000001,BSC,4.908125,4.7175,Undergraduate,03115,4.9375,4.9075,Fall,9,46,4.8462499999999995,4.7837499999999995,4.938124999999999,2015,1
45,4.554444444444444,PHAGE GENOMICS RSRCH,4.6853333333333325,4.356,BSC,4.442666666666667,5.552444444444445,Undergraduate,03116,4.734,4.886,Spring,1,52,4.780444444444445,4.624888888888889,4.532,2017,20,4.2505,PHAGE GENOMICS RSRCH,4.303,4.299,BSC,4.2485,6.0504999999999995,Undergraduate,03116,4.449,4.564,Spring,1,42,4.351000000000001,4.35,4.150499999999999,2016,33,4.090909090909091,PHAGE GENOMICS RSRCH,4.334545454545454,4.092727272727273,BSC,4.1499999999999995,5.163636363636364,Undergraduate,03116,4.452727272727273,4.636363636363637,Spring,1,46,4.243636363636364,4.243636363636363,4.181818181818182,2015,1
188,3.57,MODERN BIOLOGY,3.27,3.69,BSC,3.285,7.01,Undergraduate,03121,4.075,4.449999999999999,Spring,1,300,3.805,3.43,3.3800000000000003,2016,264,3.8100000000000005,MODERN BIOLOGY,3.59,3.9149999999999996,BSC,3.6499999999999995,7.49,Undergraduate,03121,3.985,4.375,Fall,9,346,3.7599999999999993,3.5799999999999996,3.59,2015,29,4.789999999999999,MODERN BIOLOGY,4.669310344827586,4.792758620689655,BSC,4.652758620689656,12.547931034482758,Undergraduate,03121,4.932413793103449,4.966206896551723,Summer,5,29,4.652758620689656,4.657586206896552,4.635862068965517,2015,111
14,4.574285714285714,MODERN BIOLOGY,4.572857142857144,4.6450000000000005,BSC,4.574285714285714,11.570714285714287,Undergraduate,03121,4.714999999999999,4.717142857142856,Summer,5,14,4.4314285714285715,4.714999999999999,4.573571428571428,2016,188,3.57,MODERN BIOLOGY,3.27,3.69,BSC,3.285,7.01,Undergraduate,03121,4.075,4.449999999999999,Spring,1,300,3.805,3.43,3.3800000000000003,2016,264,3.8100000000000005,MODERN BIOLOGY,3.59,3.9149999999999996,BSC,3.6499999999999995,7.49,Undergraduate,03121,3.985,4.375,Fall,9,346,3.7599999999999993,3.5799999999999996,3.59,2015,111
264,3.8100000000000005,MODERN BIOLOGY,3.59,3.9149999999999996,BSC,3.6499999999999995,7.49,Undergraduate,03121,3.985,4.375,Fall,9,346,3.7599999999999993,3.5799999999999996,3.59,2015,29,4.789999999999999,MODERN BIOLOGY,4.669310344827586,4.792758620689655,BSC,4.652758620689656,12.547931034482758,Undergraduate,03121,4.932413793103449,4.966206896551723,Summer,5,29,4.652758620689656,4.657586206896552,4.635862068965517,2015,140,2.945,MODERN BIOLOGY,2.665,2.9949999999999997,BSC,2.75,7.559999999999999,Undergraduate,03121,3.53,3.960000000000001,Spring,1,262,3.475,2.775,2.7150000000000003,2015,111
138,3.4400000000000004,MODERN BIOLOGY,3.165,3.515,BSC,3.215,7.755000000000001,Undergraduate,03121,3.96,4.23,Spring,1,244,3.855,3.3099999999999996,3.3150000000000004,2017,258,3.866317829457364,MODERN BIOLOGY,3.5660077519379842,3.9051162790697673,BSC,3.5699612403100773,7.968565891472868,Undergraduate,03121,3.892906976744186,4.4073643410852705,Fall,9,374,3.8855038759689924,3.8231782945736437,3.703565891472868,2016,14,4.574285714285714,MODERN BIOLOGY,4.572857142857144,4.6450000000000005,BSC,4.574285714285714,11.570714285714287,Undergraduate,03121,4.714999999999999,4.717142857142856,Summer,5,14,4.4314285714285715,4.714999999999999,4.573571428571428,2016,111
20,4.4465,MODERN BIOLOGY,4.346,4.4955,BSC,4.351999999999999,11.5625,Undergraduate,03121,4.4465,4.8015,Summer,5,21,4.602500000000001,4.547499999999999,4.346,2017,138,3.4400000000000004,MODERN BIOLOGY,3.165,3.515,BSC,3.215,7.755000000000001,Undergraduate,03121,3.96,4.23,Spring,1,244,3.855,3.3099999999999996,3.3150000000000004,2017,258,3.866317829457364,MODERN BIOLOGY,3.5660077519379842,3.9051162790697673,BSC,3.5699612403100773,7.968565891472868,Undergraduate,03121,3.892906976744186,4.4073643410852705,Fall,9,374,3.8855038759689924,3.8231782945736437,3.703565891472868,2016,111
258,3.866317829457364,MODERN BIOLOGY,3.5660077519379842,3.9051162790697673,BSC,3.5699612403100773,7.968565891472868,Undergraduate,03121,3.892906976744186,4.4073643410852705,Fall,9,374,3.8855038759689924,3.8231782945736437,3.703565891472868,2016,14,4.574285714285714,MODERN BIOLOGY,4.572857142857144,4.6450000000000005,BSC,4.574285714285714,11.570714285714287,Undergraduate,03121,4.714999999999999,4.717142857142856,Summer,5,14,4.4314285714285715,4.714999999999999,4.573571428571428,2016,188,3.57,MODERN BIOLOGY,3.27,3.69,BSC,3.285,7.01,Undergraduate,03121,4.075,4.449999999999999,Spring,1,300,3.805,3.43,3.3800000000000003,2016,111
173,4.329190751445087,MODERN BIOLOGY,4.028034682080924,4.325895953757225,BSC,4.137398843930636,7.043757225433527,Undergraduate,03121,4.432080924855492,4.660982658959537,Fall,9,241,4.310462427745665,4.265664739884393,4.161965317919075,2017,20,4.4465,MODERN BIOLOGY,4.346,4.4955,BSC,4.351999999999999,11.5625,Undergraduate,03121,4.4465,4.8015,Summer,5,21,4.602500000000001,4.547499999999999,4.346,2017,138,3.4400000000000004,MODERN BIOLOGY,3.165,3.515,BSC,3.215,7.755000000000001,Undergraduate,03121,3.96,4.23,Spring,1,244,3.855,3.3099999999999996,3.3150000000000004,2017,111
7,4.86,MODERN BIOLOGY LAB,4.14,4.86,BSC,4.57,6.71,Undergraduate,03124,4.43,4.43,Spring,1,17,4.71,5.0,4.57,2016,10,4.6,MODERN BIOLOGY LAB,4.5,4.2,BSC,4.6,6.5,Undergraduate,03124,4.5,4.5,Fall,9,20,4.6,4.6,4.6,2015,4,4.25,MODERN BIOLOGY LAB,5.0,4.75,BSC,4.5,15.0,Undergraduate,03124,5.0,5.0,Summer,5,7,4.25,4.5,4.75,2015,111
2,4.5,MODERN BIOLOGY LAB,5.0,5.0,BSC,4.5,9.5,Undergraduate,03124,5.0,5.0,Summer,5,7,5.0,5.0,4.5,2016,7,4.86,MODERN BIOLOGY LAB,4.14,4.86,BSC,4.57,6.71,Undergraduate,03124,4.43,4.43,Spring,1,17,4.71,5.0,4.57,2016,10,4.6,MODERN BIOLOGY LAB,4.5,4.2,BSC,4.6,6.5,Undergraduate,03124,4.5,4.5,Fall,9,20,4.6,4.6,4.6,2015,111
10,4.6,MODERN BIOLOGY LAB,4.5,4.2,BSC,4.6,6.5,Undergraduate,03124,4.5,4.5,Fall,9,20,4.6,4.6,4.6,2015,4,4.25,MODERN BIOLOGY LAB,5.0,4.75,BSC,4.5,15.0,Undergraduate,03124,5.0,5.0,Summer,5,7,4.25,4.5,4.75,2015,7,4.71,MODERN BIOLOGY LAB,4.43,4.86,BSC,4.57,7.57,Undergraduate,03124,4.57,4.57,Spring,1,17,4.57,4.71,4.57,2015,111
9,4.56,MODERN BIOLOGY LAB,4.67,4.56,BSC,4.33,9.67,Undergraduate,03124,4.78,4.89,Spring,1,14,4.44,4.56,4.78,2017,16,4.81,MODERN BIOLOGY LAB,4.81,4.75,BSC,4.75,8.19,Undergraduate,03124,4.81,4.81,Fall,9,20,4.81,5.0,4.88,2016,2,4.5,MODERN BIOLOGY LAB,5.0,5.0,BSC,4.5,9.5,Undergraduate,03124,5.0,5.0,Summer,5,7,5.0,5.0,4.5,2016,111
5,4.8,MODERN BIOLOGY LAB,4.8,4.2,BSC,4.4,11.6,Undergraduate,03124,5.0,5.0,Summer,5,8,5.0,5.0,5.0,2017,9,4.56,MODERN BIOLOGY LAB,4.67,4.56,BSC,4.33,9.67,Undergraduate,03124,4.78,4.89,Spring,1,14,4.44,4.56,4.78,2017,16,4.81,MODERN BIOLOGY LAB,4.81,4.75,BSC,4.75,8.19,Undergraduate,03124,4.81,4.81,Fall,9,20,4.81,5.0,4.88,2016,111
16,4.81,MODERN BIOLOGY LAB,4.81,4.75,BSC,4.75,8.19,Undergraduate,03124,4.81,4.81,Fall,9,20,4.81,5.0,4.88,2016,2,4.5,MODERN BIOLOGY LAB,5.0,5.0,BSC,4.5,9.5,Undergraduate,03124,5.0,5.0,Summer,5,7,5.0,5.0,4.5,2016,7,4.86,MODERN BIOLOGY LAB,4.14,4.86,BSC,4.57,6.71,Undergraduate,03124,4.43,4.43,Spring,1,17,4.71,5.0,4.57,2016,111
15,4.67,MODERN BIOLOGY LAB,4.6,4.73,BSC,4.73,8.4,Undergraduate,03124,4.87,4.929999999999999,Fall,9,24,4.6,4.8,4.73,2017,5,4.8,MODERN BIOLOGY LAB,4.8,4.2,BSC,4.4,11.6,Undergraduate,03124,5.0,5.0,Summer,5,8,5.0,5.0,5.0,2017,9,4.56,MODERN BIOLOGY LAB,4.67,4.56,BSC,4.33,9.67,Undergraduate,03124,4.78,4.89,Spring,1,14,4.44,4.56,4.78,2017,111
17,4.354705882352941,EVOLTN,3.7629411764705885,4.353529411764706,BSC,3.820588235294117,4.2964705882352945,Undergraduate,03125,4.291176470588235,4.527058823529411,Fall,9,35,4.41235294117647,4.172941176470588,3.9388235294117644,2017,12,4.33,EVOLTN & HISTRY LIFE,4.0,4.25,BSC,4.17,6.0,Undergraduate,03125,4.42,4.75,Fall,9,26,4.17,4.5,4.25,2016,21,4.48,EVOLTN & HISTRY LIFE,4.24,4.48,BSC,4.14,4.71,Undergraduate,03125,4.57,4.81,Fall,9,33,4.48,4.65,4.38,2015,1
8,4.49875,BAS SCI TO MOD MEDCN,4.62375,4.62375,BSC,4.50125,12.623750000000001,Undergraduate,03132,4.87625,4.87625,Summer,5,12,4.87625,4.74875,4.62375,2016,16,4.0,BAS SCI TO MOD MEDCN,3.69,3.88,BSC,3.31,7.25,Undergraduate,03132,4.19,4.19,Spring,1,19,3.94,4.0,3.88,2016,20,4.25,BAS SCI TO MOD MEDCN,3.8,4.0,BSC,3.55,5.0,Undergraduate,03132,4.35,4.65,Fall,9,29,4.45,4.15,4.1,2015,111
16,4.0,BAS SCI TO MOD MEDCN,3.69,3.88,BSC,3.31,7.25,Undergraduate,03132,4.19,4.19,Spring,1,19,3.94,4.0,3.88,2016,20,4.25,BAS SCI TO MOD MEDCN,3.8,4.0,BSC,3.55,5.0,Undergraduate,03132,4.35,4.65,Fall,9,29,4.45,4.15,4.1,2015,13,4.08,BAS SCI TO MOD MEDCN,4.0,4.23,BSC,3.54,6.0,Undergraduate,03132,4.54,4.54,Spring,1,23,4.31,4.23,4.15,2015,101
23,3.8721739130434782,BAS SCI TO MOD MEDCN,3.4321739130434783,3.5634782608695654,BSC,3.0,7.554347826086956,Undergraduate,03132,4.041739130434783,3.8265217391304343,Fall,9,42,3.8713043478260865,4.002173913043479,3.6513043478260867,2016,8,4.49875,BAS SCI TO MOD MEDCN,4.62375,4.62375,BSC,4.50125,12.623750000000001,Undergraduate,03132,4.87625,4.87625,Summer,5,12,4.87625,4.74875,4.62375,2016,16,4.0,BAS SCI TO MOD MEDCN,3.69,3.88,BSC,3.31,7.25,Undergraduate,03132,4.19,4.19,Spring,1,19,3.94,4.0,3.88,2016,111
161,3.8139130434782613,HONORS MOD BIOLOGY,3.7724223602484472,3.786459627329192,BSC,3.7131055900621113,9.04670807453416,Undergraduate,03151,4.124782608695652,4.34695652173913,Fall,9,194,4.192919254658385,3.824285714285714,3.771801242236025,2017,69,4.507391304347826,HONORS MOD BIOLOGY,4.641304347826087,4.580869565217391,BSC,4.405652173913044,9.440434782608696,Undergraduate,03151,4.811304347826087,4.909130434782608,Fall,9,98,4.62391304347826,4.726086956521739,4.654347826086957,2016,53,4.753962264150943,HONORS MOD BIOLOGY,4.697358490566037,4.753962264150943,BSC,4.562264150943396,8.68,Undergraduate,03151,4.905471698113208,4.883773584905661,Fall,9,71,4.8675471698113215,4.794528301886793,4.770188679245283,2015,1
77,4.53,MOLECULES TO MIND,4.45,4.68,BSC,4.56,6.62,Undergraduate,03161,4.83,4.82,Spring,1,77,4.52,4.6,4.62,2016,3,4.67,MOLECULES TO MIND,4.33,4.67,BSC,5.0,7.0,Undergraduate,03161,5.0,5.0,Summer,5,3,4.67,5.0,4.67,2015,58,4.07,MOLECULES TO MIND,4.015,4.085,BSC,3.8950000000000005,6.98,Undergraduate,03161,4.4350000000000005,4.36,Spring,1,86,4.05,4.07,4.0,2015,101
15,4.666666666666667,MOLECULES TO MIND,4.6,4.733333333333333,BSC,4.533333333333333,11.666666666666666,Undergraduate,03161,4.866666666666666,5.0,Summer,5,15,4.533333333333333,4.733333333333333,4.733333333333333,2016,77,4.53,MOLECULES TO MIND,4.45,4.68,BSC,4.56,6.62,Undergraduate,03161,4.83,4.82,Spring,1,77,4.52,4.6,4.62,2016,3,4.67,MOLECULES TO MIND,4.33,4.67,BSC,5.0,7.0,Undergraduate,03161,5.0,5.0,Summer,5,3,4.67,5.0,4.67,2015,101
85,4.73,MOLECULES TO MIND,4.74,4.75,BSC,4.81,6.829999999999999,Undergraduate,03161,4.91,4.98,Spring,1,91,4.78,4.75,4.81,2017,15,4.666666666666667,MOLECULES TO MIND,4.6,4.733333333333333,BSC,4.533333333333333,11.666666666666666,Undergraduate,03161,4.866666666666666,5.0,Summer,5,15,4.533333333333333,4.733333333333333,4.733333333333333,2016,77,4.53,MOLECULES TO MIND,4.45,4.68,BSC,4.56,6.62,Undergraduate,03161,4.83,4.82,Spring,1,77,4.52,4.6,4.62,2016,101
54,4.4457407407407405,UNDGRAD COLLQM SOPHM,3.9266666666666663,4.572777777777778,BSC,4.145925925925926,2.0,Undergraduate,03201,4.44537037037037,4.51,Fall,9,92,4.218518518518518,4.282037037037036,4.3277777777777775,2017,55,4.585272727272727,UNDGRAD COLLQM SOPHM,4.347090909090909,4.712000000000001,BSC,4.417636363636364,2.2194545454545453,Undergraduate,03201,4.672909090909091,4.7309090909090905,Fall,9,87,4.564181818181818,4.595818181818182,4.6161818181818175,2016,65,4.4,UNDGRAD COLLQM SOPHM,4.117692307692307,4.446923076923077,BSC,4.182307692307693,2.246923076923077,Undergraduate,03201,4.4,4.599230769230769,Fall,9,106,4.274615384615385,4.302307692307692,4.336923076923076,2015,1
10,5.0,UNDGRAD COLLOQUM SOP,4.6,5.0,BSC,4.8,2.0,Undergraduate,03202,4.9,5.0,Spring,1,14,4.7,4.9,4.8,2017,5,5.0,UNDGRAD COLLOQUM SOP,5.0,5.0,BSC,4.8,2.0,Undergraduate,03202,5.0,5.0,Spring,1,7,5.0,5.0,5.0,2016,6,4.83,UNDGRAD COLLOQUM SOP,4.33,4.83,BSC,4.83,2.0,Undergraduate,03202,4.83,4.83,Spring,1,10,4.67,4.83,4.83,2015,1
10,4.497,BIOMED ENG LAB,4.301,4.301,BSC,4.601,10.103,Undergraduate,03206,4.797,5.0,Fall,9,13,4.497,4.6979999999999995,4.803,2016,3,4.0,BIOMED ENG LAB,3.67,4.33,BSC,4.0,10.0,Undergraduate,03206,4.33,4.67,Spring,1,9,4.0,4.0,4.33,2016,12,5.0,BIOMED ENG LAB,4.836666666666667,4.753333333333333,BSC,4.42,11.583333333333334,Undergraduate,03206,4.836666666666667,5.0,Fall,9,22,4.916666666666667,4.916666666666667,4.92,2015,101
3,4.0,BIOMED ENG LAB,3.67,4.33,BSC,4.0,10.0,Undergraduate,03206,4.33,4.67,Spring,1,9,4.0,4.0,4.33,2016,12,5.0,BIOMED ENG LAB,4.836666666666667,4.753333333333333,BSC,4.42,11.583333333333334,Undergraduate,03206,4.836666666666667,5.0,Fall,9,22,4.916666666666667,4.916666666666667,4.92,2015,10,5.0,BIOMED ENG LAB,4.803,5.0,BSC,4.6979999999999995,8.0,Undergraduate,03206,5.0,4.799,Spring,1,12,4.803,4.901,5.0,2015,101
